"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"482","CD8 T","ICAM3","NK","ITGAL",0.814192520962235,557.75,551,0.148757595641049,461,0.698250890847413,668,0.0286401770258186,538,0.0526583132742967,564
"483","CD8 T","CALR","B","HLA-F",0.814192520962235,585.5,613.5,0.103209179887415,629,0.797744936834514,446,-0.00600864461283857,598,-0.0338752918971621,669
"484","CD8 T","LGALS1","NK","PTPRC",0.814192520962235,565.5,658,0.0958443674550788,666,0.844715432427131,277,-0.055814942928188,669,-0.0170127058826269,650
"485","NK","SELL","B","SELPLG",0.814192520962235,495.5,488,0.0953968393378501,668,0.737588343117485,582,0.154738244888161,338,0.153567921739288,394
"486","B","TRAF2","NK","TNFRSF1B",0.815360830747854,452.75,392,0.271389200354756,156,0.54880429968212,871,0.0929753064487053,419,0.172090821668331,365
"487","NK","ITGAL","NK","ICAM3",0.819071563620458,561.5,554.5,0.147694106000961,467,0.697494498386584,670,0.0288762645538601,535,0.0492455591907963,574
"488","NK","TNFRSF1B","B","TRAF2",0.820309256199772,452.75,392,0.271389200354756,156,0.54880429968212,871,0.0929753064487053,419,0.172090821668331,365
"489","NK","ICAM3","NK","ITGAL",0.823972501717336,561.5,554.5,0.147694106000961,467,0.697494498386584,670,0.0288762645538601,535,0.0492455591907963,574
"490","B","EBI3","B","IL27RA",0.825272677241383,445.25,366,0.345509616190188,87,0.469472734670637,962,0.0926586544841914,421,0.220308098250915,311
"491","B","GRN","NK","TNFRSF1B",0.825272677241383,480.5,407.5,0.17803553931285,363,0.644562731193861,744,0.108503589935218,394,0.134015033298168,421
