"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"221","CD8 T","CALM1","B","KCNN4",0.820567846741543,174.75,176.5,0.334104713603087,35,0.714826763107299,311,0.0769273120611235,194,0.185890277390445,159
"222","CD8 T","CALR","B","HLA-F",0.835738137102855,276,284.5,0.103209179887415,290,0.797744936834514,224,-0.00824276730888107,279,-0.0338752918971621,311
"223","CD8 T","B2M","CD8 T","KLRC1",0.835738137102855,232.5,258,0.0954443110884907,311,0.856281754982775,103,-0.0202693234718365,294,0.0861089196480777,222
"224","NK","TNFSF12","CD8 T","TNFRSF25",0.8421727938365,224.5,174,0.182038741351336,142,0.577049761341212,408,0.131592105712373,152,0.109968007329474,196
"225","CD8 T","CALM1","B","FAS",0.846539136152315,258.25,258.5,0.147055581551023,204,0.71203605585746,312,0.0161739393977047,256,0.0444918255194304,261
"226","B","SELPLG","NK","SELL",0.846539136152315,227.25,226,0.0953968393378501,312,0.737588343117485,284,0.140024261425781,145,0.153567921739288,168
"227","CD8 T","HLA-A","B","CD3G",0.868454874017746,251,253.5,0.0942677496839119,314,0.820203481846011,183,-0.0108783585245107,283,0.0832954056193262,224
"228","B","HLA-B","NK","KIR2DL3",0.875102697335273,200.75,197.5,0.298170618912199,48,0.81332619477969,196,0.0745396919057231,199,-0.152701844384013,360
"229","NK","ICAM2","NK","ITGAM",0.875102697335273,226.5,195,0.18507992482292,138,0.622678196333226,378,0.0793105651275558,191,0.109211841900922,199
"230","CD8 T","TNFSF12","NK","TNFRSF25",0.886217530669201,230.25,191,0.188153834023449,135,0.581076515065532,404,0.0899312457908023,182,0.109169437760736,200
"231","NK","LYZ","CD8 T","ITGAL",0.890793409114462,278.75,281.5,0.134405423454442,236,0.708799502818821,316,0.00453810511984691,270,-0.00871098541829476,293
"232","NK","GNAI2","NK","CXCR3",0.897400973856583,229,193.5,0.157479784484795,186,0.657002991745687,353,0.0997921914741596,176,0.108812956584437,201
"233","NK","LYZ","NK","ITGAL",0.902122912743308,283.75,290.5,0.13306255410813,237,0.707762127912426,317,-0.0168016805425824,287,-0.0112908798731937,294
"234","NK","SELPLG","B","ITGAM",0.908652723510851,239,190.5,0.162994094630931,179,0.548929702581599,422,0.131141833091761,153,0.108152226121273,202
"235","CD8 T","B2M","B","CD3G",0.913560144510633,240.75,261.5,0.0928906187772421,318,0.847382158699134,122,-0.0219636668152796,298,0.0831485521987942,225
"236","B","B2M","B","HLA-F",0.917253983422729,266.5,299.5,0.107442652168767,277,0.90959693574739,29,-0.0548616814662878,322,-0.465002029312138,438
"237","CD8 T","CALR","CD8 T","HLA-F",0.925105785160145,286,297.5,0.0996871727298299,299,0.794929389760768,230,-0.02113931046728,296,-0.048559026132203,319
"238","CD8 T","CCL5","B","CXCR3",0.930951054616729,185,182.5,0.0924193368009704,320,0.76656583454019,258,0.360294436252105,55,0.285423303223527,107
"239","CD8 T","HLA-B","CD8 T","CANX",0.936760517579625,271.5,308.5,0.0941863575975553,315,0.834337661626055,149,-0.0314639655250273,302,-0.049840416148846,320
"240","B","HLA-A","NK","KIR2DL3",0.942814680925955,199.5,191.5,0.298025018519551,49,0.821908614755129,178,0.0678355873384978,205,-0.163304319727809,366
"241","NK","HLA-A","CD8 T","APLP2",0.948525026800933,236.25,239.5,0.0918266002821309,321,0.799758077065052,222,0.0149880456873423,257,0.207058209070076,145
"242","CD8 T","HLA-C","B","CD3G",0.9604,275,301.5,0.0916610215878645,322,0.822970117146123,175,-0.0315319868284967,303,-0.0153499809426927,300
"243","NK","GNAI2","CD8 T","S1PR5",0.965925,226,201,0.152598465366949,195,0.692312937731291,334,0.107574152641946,168,0.103735853729145,207
"244","CD8 T","HLA-B","B","CD3G",0.972386126496832,288.75,313,0.0909698702671083,323,0.80878183649432,206,-0.0413581315948042,310,-0.0445162584558802,316
"245","B","HLA-C","NK","KIR2DL3",0.989300716924968,203.5,190,0.29760824323978,52,0.82657254093445,171,0.0653537097579783,209,-0.219611159625168,382
"246","NK","IFNG","B","IFNGR1",0.989300716924968,233,194,0.143584149774917,209,0.549494225860438,421,0.168170131438175,123,0.134060225404685,179
"247","CD8 T","ICAM3","CD8 T","ITGAL",0.996694607384193,247.75,233.5,0.150258859588343,199,0.699307684349738,325,0.0586668279433708,216,0.0552382077291956,251
"248","NK","HLA-B","NK","CD3G",0.996694607384193,213.5,218.5,0.0907872761574561,325,0.808626422311144,207,0.0375039847951429,230,0.319037354008575,92
"249","B","HSP90B1","B","TLR7",1,229.5,236.5,0.275174559514542,65,0.619739035592918,380,0.00739895470607842,268,0.104994569188541,205
"250","B","CALM1","B","KCNN4",1,273.75,337.5,0.256301443401764,78,0.687056374419115,342,-0.0822195511671022,337,-0.0828100391479015,338
"251","B","HLA-A","NK","KIR3DL2",1,239,245.5,0.245102374586971,87,0.794925385221463,231,0.0124353216296841,260,-0.200618201314398,378
"252","NK","UBA52","NK","TGFBR1",1,240.25,251,0.242863090084913,90,0.795880381681415,228,0.000870481985943916,274,-0.172888771589336,369
"253","B","GNAI2","B","FPR1",1,242.25,215,0.222323111512493,103,0.516802730070647,436,0.0524599109290661,220,0.102720509080689,210
"254","B","TGFB1","NK","TGFBR1",1,233.75,219.5,0.217514444680576,108,0.610581791986968,388,0.0497629270119694,222,0.0947079777414095,217
"255","B","GSTP1","B","TRAF2",1,256,270.5,0.206992481108223,121,0.646941964234894,362,-0.0191742849827547,292,0.056148930971196,249
"256","NK","CD86","B","CD28",1,253,215,0.206944990089361,122,0.401218099949677,460,0.0470232579932065,224,0.104740196103141,206
"257","B","TGFB1","NK","TGFBR3",1,250,235.5,0.199048463342506,127,0.584853675201545,402,0.0294028375856895,241,0.0771277595658827,230
"258","B","MFNG","NK","NOTCH1",1,259.5,240,0.184061619765235,139,0.552688062145979,419,0.0261531107097888,246,0.0750183365837668,234
"259","NK","UBA52","CD8 T","TGFBR2",1,272,274.5,0.176742164590059,151,0.787093110133737,241,-0.0376463302807171,308,-0.228578461423025,388
"260","CD8 T","SELPLG","NK","ITGAM",1,246.5,207.5,0.173376713411415,155,0.55656274152168,416,0.0738651865837241,200,0.0958541699468338,215
"261","CD8 T","GSTP1","B","TRAF2",1,297.75,325.5,0.168288400623513,163,0.622957995433528,377,-0.0977190399015213,345,-0.0195082175465248,306
"262","CD8 T","GNAI2","B","FPR1",1,297,285.5,0.166828950665553,167,0.480922982088763,450,-0.0269098585120037,301,0.0300424153381994,270
"263","NK","MFNG","NK","NOTCH1",1,281.5,264,0.165912450275377,170,0.539823565276008,428,0.00536268837860295,269,0.0448743130801137,259
"264","CD8 T","GNAI2","NK","ADCY7",1,246,212.5,0.164382907365787,173,0.614047218390309,386,0.0687602747078565,204,0.0886025838234982,221
"265","NK","TNFSF12","NK","TNFRSF25",1,253,212,0.16390977160247,175,0.56419923343491,413,0.0759539401718336,197,0.0817865796999001,227
"266","CD8 T","ICAM2","NK","ITGAM",1,264,245,0.163779986254022,177,0.608211264962657,389,0.0172660374812588,255,0.0743833975606997,235
"267","NK","UBA52","NK","NOTCH1",1,298.5,307,0.162582448946084,180,0.748438586280544,274,-0.0857417271623189,340,-0.265249600459882,400
"268","NK","LRPAP1","CD8 T","SORL1",1,227,197,0.161828166613361,181,0.640732332846709,365,0.134826603202696,149,0.0981733307511181,213
